2019-09-21 08:52:40.904 INFO  DefaultFactory Logging to 'D:\Project\NServiceBus\FireOnWheels.Rest\App_Data\' with level Info
2019-09-21 08:52:41.083 INFO  NServiceBus.LicenseManager Trial for the Particular Service Platform has been active since 9/21/2019.
2019-09-21 08:52:41.183 INFO  NServiceBus.PerformanceMonitorUsersInstaller Added user 'DESKTOP-3477AFV\oldmonkey' to group 'Prestatiemetergebruikers'.
2019-09-21 08:52:41.498 INFO  NServiceBus.QueuePermissions Queue [private$\error] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-21 08:52:41.503 INFO  NServiceBus.QueuePermissions Queue [private$\audit] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-21 08:52:41.506 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2019-09-21 08:52:41.508 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2019-09-21 08:52:41.509 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2019-09-21 08:52:41.515 INFO  NServiceBus.QueuePermissions Queue [private$\FireOnWheels.Rest.Timeouts] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-21 08:52:41.521 INFO  NServiceBus.QueuePermissions Queue [private$\FireOnWheels.Rest.TimeoutsDispatcher] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-21 08:52:41.526 INFO  NServiceBus.QueuePermissions Queue [private$\FireOnWheels.Rest.Retries] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-21 08:52:41.531 INFO  NServiceBus.QueuePermissions Queue [private$\FireOnWheels.Rest] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-21 10:50:13.318 INFO  DefaultFactory Logging to 'D:\Project\NServiceBus\FireOnWheels.Rest\App_Data\' with level Info
2019-09-21 10:50:13.453 INFO  NServiceBus.LicenseManager Trial for the Particular Service Platform has been active since 9/21/2019.
2019-09-21 10:50:13.533 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'DESKTOP-3477AFV\oldmonkey' to group 'Prestatiemetergebruikers' because the user is already in group.
2019-09-21 10:50:13.594 INFO  NServiceBus.QueuePermissions Queue [private$\error] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-21 10:50:13.598 INFO  NServiceBus.QueuePermissions Queue [private$\audit] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-21 10:50:13.602 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2019-09-21 10:50:13.604 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2019-09-21 10:50:13.612 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2019-09-21 10:50:13.621 INFO  NServiceBus.QueuePermissions Queue [private$\FireOnWheels.Rest.Timeouts] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-21 10:50:13.625 INFO  NServiceBus.QueuePermissions Queue [private$\FireOnWheels.Rest.TimeoutsDispatcher] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-21 10:50:13.629 INFO  NServiceBus.QueuePermissions Queue [private$\FireOnWheels.Rest.Retries] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-21 10:50:13.633 INFO  NServiceBus.QueuePermissions Queue [private$\FireOnWheels.Rest] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-21 11:34:00.552 INFO  DefaultFactory Logging to 'D:\Project\NServiceBus\FireOnWheels.Rest\App_Data\' with level Info
2019-09-21 11:34:00.684 INFO  NServiceBus.LicenseManager Trial for the Particular Service Platform has been active since 9/21/2019.
2019-09-21 11:34:00.773 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'DESKTOP-3477AFV\oldmonkey' to group 'Prestatiemetergebruikers' because the user is already in group.
2019-09-21 11:34:00.838 WARN  NServiceBus.QueuePermissions Queue [private$\error] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-21 11:34:00.843 WARN  NServiceBus.QueuePermissions Queue [private$\audit] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-21 11:34:00.846 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2019-09-21 11:34:00.846 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2019-09-21 11:34:00.847 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2019-09-21 11:34:00.856 WARN  NServiceBus.QueuePermissions Queue [private$\FireOnWheels.Rest.Timeouts] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-21 11:34:00.861 WARN  NServiceBus.QueuePermissions Queue [private$\FireOnWheels.Rest.TimeoutsDispatcher] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-21 11:34:00.871 WARN  NServiceBus.QueuePermissions Queue [private$\FireOnWheels.Rest.Retries] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-21 11:34:00.877 WARN  NServiceBus.QueuePermissions Queue [private$\FireOnWheels.Rest] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
