2019-09-22 06:50:59.838 INFO  DefaultFactory Logging to 'D:\Project\NServiceBus\eCommerce.Rest\App_Data\' with level Info
2019-09-22 06:50:59.988 INFO  NServiceBus.LicenseManager Trial for the Particular Service Platform has been active since 9/21/2019.
2019-09-22 06:51:00.063 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'DESKTOP-3477AFV\oldmonkey' to group 'Prestatiemetergebruikers' because the user is already in group.
2019-09-22 06:51:00.154 WARN  NServiceBus.QueuePermissions Queue [private$\error] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-22 06:51:00.158 WARN  NServiceBus.QueuePermissions Queue [private$\audit] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-22 06:51:00.163 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2019-09-22 06:51:00.164 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2019-09-22 06:51:00.165 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2019-09-22 06:51:00.173 WARN  NServiceBus.QueuePermissions Queue [private$\eCommerce.Rest.Timeouts] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-22 06:51:00.183 WARN  NServiceBus.QueuePermissions Queue [private$\eCommerce.Rest.TimeoutsDispatcher] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-22 06:51:00.189 WARN  NServiceBus.QueuePermissions Queue [private$\eCommerce.Rest.Retries] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-22 06:51:00.197 WARN  NServiceBus.QueuePermissions Queue [private$\eCommerce.Rest] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-22 07:26:01.417 INFO  DefaultFactory Logging to 'D:\Project\NServiceBus\eCommerce.Rest\App_Data\' with level Info
2019-09-22 07:26:01.587 INFO  NServiceBus.LicenseManager Trial for the Particular Service Platform has been active since 9/21/2019.
2019-09-22 07:26:01.696 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'DESKTOP-3477AFV\oldmonkey' to group 'Prestatiemetergebruikers' because the user is already in group.
2019-09-22 07:26:01.782 INFO  NServiceBus.QueuePermissions Queue [private$\error] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-22 07:26:01.787 INFO  NServiceBus.QueuePermissions Queue [private$\audit] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-22 07:26:01.791 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2019-09-22 07:26:01.792 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2019-09-22 07:26:01.794 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2019-09-22 07:26:01.804 INFO  NServiceBus.QueuePermissions Queue [private$\eCommerce.Rest.Timeouts] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-22 07:26:01.813 INFO  NServiceBus.QueuePermissions Queue [private$\eCommerce.Rest.TimeoutsDispatcher] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-22 07:26:01.818 INFO  NServiceBus.QueuePermissions Queue [private$\eCommerce.Rest.Retries] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-22 07:26:01.825 INFO  NServiceBus.QueuePermissions Queue [private$\eCommerce.Rest] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-22 13:14:07.547 INFO  DefaultFactory Logging to 'D:\Project\NServiceBus\eCommerce.Rest\App_Data\' with level Info
2019-09-22 13:14:07.689 INFO  NServiceBus.LicenseManager Trial for the Particular Service Platform has been active since 9/21/2019.
2019-09-22 13:14:07.777 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'DESKTOP-3477AFV\oldmonkey' to group 'Prestatiemetergebruikers' because the user is already in group.
2019-09-22 13:14:07.963 WARN  NServiceBus.QueuePermissions Queue [private$\error] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-22 13:14:07.968 WARN  NServiceBus.QueuePermissions Queue [private$\audit] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-22 13:14:07.974 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2019-09-22 13:14:07.975 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2019-09-22 13:14:07.976 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2019-09-22 13:14:07.983 WARN  NServiceBus.QueuePermissions Queue [private$\eCommerce.Rest.Timeouts] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-22 13:14:07.990 WARN  NServiceBus.QueuePermissions Queue [private$\eCommerce.Rest.TimeoutsDispatcher] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-22 13:14:08.001 WARN  NServiceBus.QueuePermissions Queue [private$\eCommerce.Rest.Retries] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-22 13:14:08.007 WARN  NServiceBus.QueuePermissions Queue [private$\eCommerce.Rest] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
